,,,,,,,,,,,
dam_name,nidid,inspection_date,owner_typ,river,city,county,longitude,latitude,inspection_frequency,year_completed,year_modified
Crystal Lake Dam,NC02979,1/16/14,Private,Little Bridge Creek,Spring Lake,Harnett,-79.048,35.2863,2,not available,not available
Pettit Pond Dam,NC03046,4/28/15,Private,Camp Creek-Tr,Mount Valley,Henderson,-82.3719,35.2307,2,not available,not available
Gaetani Dam,NC01901,3/14/13,Private,"Merrills Cove Creek (C, Tr)",Fletcher,Buncombe,-82.4685,35.4641,5,not available,not available
Evans Dam,NC02149,1/13/14,Private,Hybarts Branch,Fayetteville,Cumberland,-78.933,35.068,2,not available,not available
Lutz Dam,NC01931,2/14/13,Private,Ut To Gouches Branch (C),Juno,Buncombe,-82.6854,35.6216,5,not available,not available
Freeman Dam,NC03076,5/15/15,Private,Vernon Creek,Tuxedo,Henderson,-82.4578,35.2363,2,not available,1993
Raynor Pond Dam,NC02157,4/30/12,Private,Cape Fear River-Tr,Fayetteville,Cumberland,-78.871,35.117,5,not available,not available
Gambill Pond Dam Lower,NC02468,10/22/15,Private,Bill Branch-Tr,Pfafftown,Forsyth,-80.3647,36.153,2,not available,not available
The Lakes Dam,NC02130,8/4/15,Local Government,Beaver Creek-Os,Pine Knoll,Cumberland,-78.98,35.074,2,1980,2009
Maple Lane Fish Pond Dam,NC01940,1/8/15,Private,Ut To Drowning Creek (Ws-Iv),Hickory,Burke,-81.4627,35.7239,2,not available,not available
Breitbart Dam,NC01885,3/27/14,Private,Bee Tree Creek-Trib,Beaverdam Community,Buncombe,-82.5176,35.6587,5,not available,not available
Janita Lake Dam Upper,NC02428,11/12/14,Private,Salem Creek-Tr,Winston-Salem,Forsyth,-80.2897,36.035,2,not available,not available
Hicks Pond Dam,NC02489,2/7/00,Private,Cedar Creek-Tr,not available,Franklin,-78.49,36.102,5,not available,not available
Cox Dam,NC02626,10/15/14,Private,Dutchmans Creek-Tr,Lucia,Gaston,-81.018,35.369,2,1952,not available
L B Izzi Dam,NC02111,10/18/11,Private,Broad River-Tr,Gaston Shoals Sc,Cleveland,-81.5955,35.2375,5,1982,not available
Kirby Newton Pond Dam,NC01834,1/8/14,Private,Blackwell Branch-Tr,Peachland,Anson,-80.2702,35.0266,5,1987,not available
Piedmont Centre Dam,NC02801,11/4/14,Private,East Fork Deep River-Tr,High Point,Guilford,-79.9425,36.0563,2,not available,not available
Hendersonville Country Club Dam,NC03031,1/12/15,Private,Mud Creek-Tr,Hendersonville,Henderson,-82.4853,35.3027,2,not available,not available
Denton Dam,NC02523,4/29/04,Private,Crooked Creek-Tr,not available,Franklin,-78.319,35.988,5,not available,not available
Newman Dam,NC03021,5/2/14,Private,Trib To Hungry River,Mount Valley,Henderson,-82.3686,35.3089,5,not available,not available
Odom Dam,NC02753,11/4/13,Private,Haw River-Tr,Altamahaw,Guilford,-80.01,36.169,2,1971,not available
Blanchard Dam #4,NC02974,3/24/14,Private,Barbecue Creek-Tr,Erwin,Harnett,-79.0424,35.3226,2,not available,not available
Bates Dam,NC02181,11/27/12,Private,Reedy Creek-Tr,Salisbury,Davidson,-80.302,35.899,5,1982,not available
Beaman Farm Lake Dam,NC02748,10/30/14,Private,East Belews Creek-Tr,Madison,Guilford,-80.028,36.253,5,not available,not available
Wysong Dam,NC02865,2/19/14,Private,Reedy Fork Creek-Tr,Browns Summit,Guilford,-79.7138,36.1707,5,not available,not available
Wood Lake Dam,NC03090,3/4/15,Private,Black Branch-Tr,Hope Mills,Hoke,-79.146,34.9961,2,1981,not available
Brushy Creek Dam #7,NC01869,9/10/04,Private,North Toe River-Tr,Spruce Pine,Avery,-81.9961,35.9408,2,not available,not available
Becker Sand & Gravel,NC02953,12/2/10,Private,Cape Fear River-Os,not available,Harnett,-78.8686,35.4438,5,not available,not available
Hedrick Tailings Dike #2,NC01830,2/22/11,Private,Island Creek-Os,Lilesville,Anson,-79.923,34.945,5,1983,not available
Phillips Lake Dam,NC02089,12/11/97,Private,Tyson Creek,not available,Chatham,-79.442,35.561,5,not available,not available
Delta Lake Dam,NC01692,1/7/15,Private,Reedy Creek-Tr,Charlotte,Mecklenburg,-80.731,35.249,2,not available,not available
Crowfields Dam,NC01893,1/29/15,Private,Dingle Creek-Trib,Asheville,Buncombe,-82.5297,35.5044,2,1975,2005
Schmidt Pond Dam,NC01930,4/7/15,Private,Avery Cr-Tr,Asheville,Buncombe,-82.5788,35.4598,2,not available,not available
Eno West Point Dam,NC02318,11/15/77,Local Government,Eno River,not available,Durham,-78.9111,36.0711,5,not available,not available
Charles Smith Dam,NC02161,6/16/14,Private,Cape Fear River-Tr,Fayetteville,Cumberland,-78.875,35.121,2,1954,not available
Dee Dam,NC03015,4/25/13,Private,Ut To N. Pacolet River,Melrose,Henderson,-82.3766,35.2088,5,not available,not available
Pcs Phosphate R1 & R2 Blend Dike,NC01876,4/3/01,Private,Pamlico,Pamlico,Beaufort,-76.7948,35.3632,2,1987,not available
Perry Dam,NC02278,2/25/03,Private,Laurel Creek-Tr,Falls,Durham,-78.716,35.982,5,not available,not available
Maples Fishing Pond Dam,NC02113,12/17/14,Private,Beason Creek-Tr,Earl Station,Cleveland,-81.398,35.224,2,1960,9999
Brothers Lake Dam,NC02890,11/19/12,Private,N Prong Stinking Quarter Ck,not available,Guilford,-79.622,35.935,5,not available,not available
